,Value
305,689/293
306,61/6
307,477/370
308,2/8
309,4/8
310,7/612
311,9/380
312,69/1
313,78/6
314,1/4
315,50/29
316,44/60
317,5/168
318,2/970
319,650/222
320,765/88
321,54/9
322,29/9
323,1/4
324,48/62
325,8/37
326,7/687
327,82/5
328,504/2
329,53/166
330,6/69
331,1/9
332,6/103
333,733/626
334,9/7
335,135/627
336,1/9
337,35/909
338,23/4
339,8/988
340,572/2
341,1/487
342,4/8
343,941/548
344,2/1
345,49/954
346,72/70
347,27/907
348,41/108
349,24/760
350,75/485
351,45/92
352,904/359
353,75/688
354,24/384
355,4/886
356,97/779
357,698/94
358,31/629
359,4/7
360,6/696
361,48/95
362,297/492
363,232/859
364,5/355
365,113/854
366,309/48
367,89/98
368,6/94
369,1/954
370,2/99
371,48/9
372,815/817
373,1/512
374,112/4
375,669/6
376,99/907
377,591/51
378,869/95
379,158/3
380,82/9
381,6/8
382,7/950
383,4/9
384,194/673
385,710/8
386,1/4
387,24/68
388,69/15
389,9/537
390,23/739
391,75/936
392,54/726
393,988/853
394,997/940
395,134/7
396,834/1
397,95/713
398,4/1
399,901/5
400,1/2
401,529/5
402,6/8
403,7/799
404,35/39
405,21/37
406,754/12
407,8/8
408,502/7
409,687/6
410,4/9
411,79/7
412,1/77
413,400/3
414,8/1
415,3/12
416,180/60
417,704/33
418,7/254
419,8/987
420,36/834
421,61/46
422,414/74
423,12/91
424,62/958
425,207/13
426,6/895
427,9/1
428,7/274
429,6/6
430,983/823
431,525/170
432,55/35
433,7/82
434,1/9
435,850/3
436,919/983
437,923/67
438,529/77
439,40/815
440,12/4
441,21/60
442,3/935
443,166/480
444,91/729
445,951/29
446,75/5
447,631/772
448,578/79
449,74/50
450,5/102
451,7/5
452,822/317
453,8/1
454,492/76
455,9/5
456,299/220
457,94/1
458,41/8
459,33/110
460,49/563
461,6/1
462,74/760
463,361/25
464,2/779
465,19/42
466,8/7
467,46/974
468,8/30
469,6/32
470,9/44
471,37/3
472,246/9
473,6/5
474,91/387
475,6/4
476,8/39
477,1/8
478,46/19
479,61/8
480,94/81
481,7/89
482,961/629
483,133/6
484,9/28
485,211/798
486,247/5
487,4/64
488,53/6
489,43/15
490,60/19
491,710/41
492,648/1
493,483/2
494,5/68
495,348/32
496,83/47
497,4/92
498,6/103
499,6/678
500,442/605
501,1/273
502,489/2
503,6/223
504,521/59
505,249/5
506,38/979
507,368/465
508,32/633
509,522/5
510,68/38
511,121/4
512,8/55
513,9/618
514,540/23
515,7/82
516,4/20
517,229/30
518,97/17
519,532/6
520,418/714
521,8/4
522,19/70
523,137/331
524,38/73
525,840/38
526,8/4
527,74/9
528,6/9
529,24/326
530,8/21
531,1/32
532,6/596
533,880/11
534,71/252
535,10/5
536,9/22
537,2/4
538,4/664
539,145/1
540,483/33
541,3/1
542,52/324
543,57/5
544,5/29
545,4/21
546,90/89
547,2/198
548,6/972
549,9/539
550,7/413
551,223/154
552,2/7
553,438/790
554,4/99
555,569/6
556,743/836
557,4/2
558,43/522
559,470/73
560,79/164
561,1/355
562,3/119
563,2/21
564,361/49
565,4/51
566,85/74
567,8/2
568,7/18
569,884/380
570,81/6
571,104/38
572,266/89
573,4/4
574,46/96
575,191/41
576,98/5
577,768/469
578,4/14
579,5/646
580,57/31
581,752/633
582,2/8
583,84/968
584,17/20
585,1/32
586,437/94
587,759/395
588,206/96
589,775/7
590,375/12
591,485/6
592,118/868
593,9/2
594,384/49
595,4/925
596,9/312
597,62/9
598,95/590
599,8/505
600,4/183
601,3/765
602,7/5
603,83/337
604,733/8
605,746/58
606,954/932
607,213/2
608,40/30
609,5/997
610,91/372
611,5/69
612,9/357
613,8/38
614,766/2
615,19/795
616,297/63
617,170/9
618,420/374
619,214/80
620,4/8
621,5/44
622,3/723
623,6/533
624,1/49
625,71/69
626,16/57
627,848/13
628,320/5
629,6/62
630,9/79
631,398/95
632,712/848
633,51/6
634,40/92
635,78/91
636,6/2
637,239/548
638,1/60
639,9/77
640,888/79
641,364/128
642,54/57
643,5/7
644,65/7
645,45/79
646,95/16
647,153/55
648,94/941
649,500/292
650,714/2
651,64/748
652,1/157
653,82/475
654,659/347
655,15/762
656,3/6
657,3/59
658,255/44
659,267/56
660,4/9
661,704/80
662,78/66
663,7/683
664,148/593
665,26/725
666,88/6
667,35/504
668,616/831
669,484/930
670,44/401
671,75/8
672,9/728
673,754/59
674,369/4
675,667/19
676,762/40
677,6/6
678,4/18
679,29/52
680,48/9
681,2/41
682,74/904
683,872/982
684,157/8
685,885/823
686,291/863
687,915/86
688,23/51
689,74/2
690,77/3
691,683/24
692,90/280
693,554/310
694,74/6
695,222/19
696,5/224
697,21/6
698,73/4
699,3/2
700,44/96
701,95/6
702,57/9
703,77/635
704,99/79
705,8/8
706,5/5
707,4/633
708,7/778
709,2/1
710,96/6
711,683/878
712,5/4
713,1/5
714,6/2
715,83/9
716,3/22
717,4/997
718,502/4
719,58/514
720,314/3
721,50/668
722,688/86
723,92/93
724,44/4
725,99/629
726,680/10
727,917/943
728,92/8
729,424/31
730,271/4
731,849/43
732,8/4
733,20/96
734,826/1
735,80/680
736,58/332
737,7/459
738,9/210
739,59/92
740,81/9
741,29/175
742,303/963
743,1/57
744,44/6
745,70/4
746,48/2
747,3/275
748,3/681
749,372/884
750,11/578
751,78/60
752,856/8
753,470/782
754,780/981
755,323/5
756,9/30
757,14/48
758,845/14
759,65/77
760,72/93
761,44/69
762,353/13
763,630/491
764,896/6
765,96/3
766,558/8
767,26/9
768,8/466
769,3/1
770,424/85
771,8/56
772,640/64
773,81/10
774,55/79
775,78/48
776,4/96
777,1/33
778,2/2
779,7/65
780,10/10
781,410/279
782,115/682
783,703/3
784,6/4
785,2/37
786,44/49
787,875/35
788,44/96
789,9/40
790,7/23
791,5/755
792,9/244
793,2/606
794,723/9
795,8/92
796,221/633
797,81/8
798,877/801
799,357/5
800,5/3
801,9/68
802,23/61
803,4/94
804,69/2
805,747/1
806,67/753
807,27/24
808,10/2
809,13/18
810,74/3
811,536/30
812,21/6
813,62/705
814,448/273
815,5/56
816,2/27
817,3/977
818,8/5
819,40/770
820,31/7
821,106/291
822,83/76
823,1/94
824,98/6
825,126/344
826,7/4
827,70/8
828,98/560
829,6/53
830,35/6
831,23/276
832,16/4
833,55/83
834,249/86
835,48/4
836,8/65
837,905/98
838,805/96
839,47/16
840,9/65
841,61/51
842,2/71
843,95/775
844,683/40
845,21/9
846,324/294
847,74/4
848,127/96
849,994/246
850,4/48
851,8/169
852,250/598
853,187/7
854,4/564
855,2/875
856,66/55
857,2/8
858,61/8
859,2/578
860,2/699
861,383/662
862,906/52
863,6/508
864,71/769
865,489/89
866,995/6
867,4/5
868,956/7
869,7/5
870,8/58
871,704/6
872,5/910
873,32/640
874,9/27
875,812/255
876,7/218
877,3/5
878,5/40
879,60/207
880,48/9
881,98/6
882,92/383
883,771/825
884,1/7
885,879/3
886,1/8
887,5/94
888,557/468
889,446/7
890,879/63
891,32/26
892,1/336
893,644/96
894,94/237
895,65/36
896,7/46
897,1/75
898,99/61
899,8/45
900,167/1
901,19/52
902,5/25
903,1/27
904,362/98
905,9/77
906,45/892
907,708/5
908,63/782
909,1/809
910,842/1
911,5/130
912,2/7
913,9/17
914,981/98
915,31/8
916,87/5
917,427/24
918,901/50
919,3/10
920,3/31
921,29/574
922,76/345
923,5/16
924,6/84
925,380/17
926,2/47
927,540/572
928,8/56
929,439/9
930,28/7
931,85/805
932,57/1
933,292/55
934,9/88
935,5/25
936,56/15
937,285/982
938,417/8
939,2/658
940,1/566
941,55/708
942,246/890
943,2/92
944,423/949
945,57/7
946,2/612
947,6/357
948,382/82
949,4/4
950,8/459
951,96/387
952,74/980
953,144/209
954,97/42
955,27/440
956,484/54
957,72/788
958,8/7
959,164/6
960,402/5
961,3/5
962,73/32
963,209/3
964,107/8
965,146/4
966,3/205
967,577/6
968,5/9
969,60/77
970,281/6
971,97/33
972,548/7
973,57/4
974,3/3
975,1/1
976,9/1
977,6/16
978,6/9
979,87/8
980,2/7
981,60/9
982,79/3
983,976/350
984,89/3
985,1/590
986,41/95
987,6/74
988,5/31
989,5/9
990,75/4
991,2/2
992,3/414
993,430/7
994,98/79
995,313/243
996,183/73
997,14/94
998,1/59
999,93/566
1000,52/57
1001,252/344
1002,80/81
1003,288/5
1004,34/990
1005,2/289
1006,7/197
1007,5/44
1008,80/52
1009,5/4
1010,25/77
1011,90/97
1012,797/88
1013,2/88
1014,456/6
1015,5/6
1016,947/77
1017,89/2
1018,418/96
1019,1/843
1020,67/675
1021,3/3
1022,16/76
1023,6/372
1024,435/538
1025,647/17
1026,12/991
1027,994/8
1028,449/5
1029,1/11
1030,81/299
1031,381/98
1032,40/671
1033,445/64
1034,39/958
1035,2/745
1036,22/815
1037,1/18
1038,1/71
1039,362/2
1040,894/752
1041,438/5
1042,61/324
1043,896/728
1044,95/634
1045,650/709
1046,750/88
1047,289/2
1048,138/6
1049,17/6
1050,333/2
1051,2/574
1052,213/364
1053,16/68
1054,5/94
1055,881/57
1056,4/7
1057,310/330
1058,637/22
1059,4/14
1060,386/7
1061,5/39
1062,38/6
1063,495/7
1064,926/66
1065,5/97
1066,111/286
1067,77/95
1068,346/19
1069,4/70
1070,419/1
1071,1/87
1072,7/4
1073,1/1
1074,95/57
1075,11/6
1076,81/2
1077,3/978
1078,3/9
1079,660/6
1080,4/1
1081,684/62
1082,5/8
1083,74/925
1084,517/2
1085,804/906
1086,223/47
1087,526/50
1088,635/87
1089,4/816
1090,739/564
1091,948/6
1092,954/91
1093,9/2
1094,91/621
1095,409/4
1096,145/218
1097,35/9
1098,40/999
1099,64/45
1100,21/6
1101,440/432
1102,7/101
1103,2/633
1104,709/56
1105,8/10
1106,38/2
1107,79/3
1108,17/930
1109,976/8
1110,6/76
1111,968/3
1112,9/60
1113,342/37
1114,1/684
1115,5/589
1116,26/595
1117,29/4
1118,649/522
1119,8/519
1120,3/95
1121,29/348
1122,572/3
1123,71/7
1124,24/4
1125,636/9
1126,57/4
1127,247/63
1128,3/7
1129,835/9
1130,7/4
1131,59/890
1132,7/197
1133,102/355
1134,33/80
1135,18/76
1136,120/2
1137,78/4
1138,5/718
1139,5/8
1140,838/33
1141,42/86
1142,330/708
1143,30/9
1144,287/6
1145,14/1
1146,82/9
1147,968/70
1148,84/2
1149,8/42
1150,75/1
1151,6/72
1152,1/871
1153,406/25
1154,78/1
1155,6/951
1156,47/74
1157,87/7
1158,20/56
1159,39/2
1160,965/426
1161,946/552
1162,3/897
1163,22/18
1164,79/20
1165,341/3
1166,30/117
1167,40/55
1168,2/7
1169,9/4
1170,47/863
1171,62/1
1172,9/6
1173,981/2
1174,4/18
1175,9/474
1176,941/5
1177,472/21
1178,163/66
1179,73/151
1180,607/9
1181,4/641
1182,94/20
1183,97/3
1184,495/195
1185,3/6
1186,1/667
1187,3/37
1188,6/545
1189,85/47
1190,1/26
1191,490/704
1192,749/670
1193,8/9
1194,88/667
1195,497/4
1196,4/8
1197,98/52
1198,35/9
1199,1/92
1200,6/2
1201,71/514
1202,7/6
1203,2/625
1204,98/4
1205,5/38
1206,18/62
1207,54/26
1208,5/70
1209,295/758
1210,331/4
1211,7/4
1212,3/24
1213,86/741
1214,5/536
1215,4/6
1216,913/5
1217,4/69
1218,90/987
1219,90/770
1220,8/71
1221,4/6
1222,3/46
1223,545/9
1224,667/353
1225,5/301
1226,769/8
1227,219/8
1228,9/5
1229,440/2
1230,31/62
1231,72/1
1232,356/83
1233,9/20
1234,2/156
1235,502/12
1236,6/8
1237,626/53
1238,348/661
1239,63/38
1240,319/6
1241,434/5
1242,86/22
1243,80/387
1244,9/213
1245,201/29
1246,23/66
1247,59/5
1248,55/52
1249,643/244
1250,364/396
1251,637/198
1252,49/888
1253,37/92
1254,478/359
1255,286/14
1256,71/6
1257,7/944
1258,88/842
1259,161/568
1260,51/9
1261,1/27
1262,3/1
1263,94/2
1264,30/5
1265,10/65
1266,5/5
1267,9/458
1268,938/6
1269,805/4
1270,1/11
1271,2/701
1272,47/16
1273,183/668
1274,1/372
1275,7/9
1276,18/330
1277,85/50
1278,922/852
1279,8/262
1280,736/70
1281,551/829
1282,2/445
1283,87/44
1284,4/8
1285,90/50
1286,41/30
1287,651/23
1288,792/10
1289,105/9
1290,637/4
1291,4/50
1292,18/833
1293,57/6
1294,9/37
1295,905/52
1296,13/633
1297,1/219
1298,2/51
1299,219/967
1300,72/4
1301,828/59
1302,64/393
1303,97/39
1304,773/92
1305,23/50
1306,6/90
1307,4/962
1308,365/476
1309,9/85
1310,9/20
1311,93/85
1312,24/4
1313,15/4
1314,62/4
1315,493/51
1316,85/89
1317,359/2
1318,169/3
1319,50/9
1320,81/56
1321,5/54
1322,83/506
1323,36/2
1324,2/2
1325,33/661
1326,30/370
1327,7/37
1328,54/64
1329,65/67
1330,72/212
1331,7/3
1332,6/38
1333,339/535
1334,970/48
1335,3/90
1336,32/73
1337,9/95
1338,260/265
1339,51/87
1340,1/889
1341,981/383
1342,2/5
1343,256/326
1344,180/9
1345,89/48
1346,5/891
1347,9/72
1348,5/3
1349,3/51
1350,263/89
1351,434/29
1352,9/45
1353,505/9
1354,48/8
1355,212/99
1356,9/3
1357,998/798
1358,886/8
1359,68/607
1360,8/8
1361,18/60
1362,608/95
1363,238/9
1364,202/14
1365,39/62
1366,6/659
1367,832/11
1368,6/62
1369,14/385
1370,75/5
1371,773/82
1372,299/320
1373,103/688
1374,8/47
1375,769/80
1376,227/200
1377,16/230
1378,5/8
1379,106/60
1380,34/263
1381,8/495
1382,891/16
1383,4/2
1384,6/69
1385,540/686
1386,363/47
1387,39/973
1388,503/898
1389,3/83
1390,8/4
1391,690/683
1392,887/30
1393,9/9
1394,77/1
1395,857/362
1396,42/780
1397,437/76
1398,84/777
1399,4/467
1400,24/1
1401,91/545
1402,127/24
1403,72/126
1404,314/305
1405,3/82
1406,2/90
1407,53/310
1408,52/6
1409,940/1
1410,174/63
1411,50/816
1412,22/73
1413,22/62
1414,1/664
1415,7/702
1416,9/537
1417,99/7
1418,27/6
1419,9/378
1420,9/5
1421,546/1
1422,989/29
1423,4/296
1424,4/48
1425,8/161
1426,11/687
1427,682/978
1428,47/3
1429,924/830
1430,3/44
1431,2/58
1432,1/3
1433,930/89
1434,585/22
1435,1/636
1436,2/7
1437,15/198
1438,49/69
1439,16/8
1440,8/7
1441,6/14
1442,9/99
1443,6/19
1444,10/94
1445,759/668
1446,8/4
1447,4/96
1448,986/5
1449,95/95
1450,8/547
1451,83/161
1452,25/7
1453,1/22
1454,893/12
1455,62/161
1456,36/63
1457,3/2
1458,32/223
1459,520/1
1460,2/9
1461,431/14
1462,91/73
1463,1/2
1464,581/5
1465,952/53
1466,6/66
1467,97/6
1468,959/3
1469,87/716
1470,1/883
1471,3/9
1472,27/23
1473,3/9
1474,4/2
1475,634/654
1476,4/48
1477,65/94
1478,734/258
1479,7/31
1480,59/350
1481,59/902
1482,9/5
1483,583/1
1484,19/37
1485,4/6
1486,8/858
1487,834/3
1488,68/82
1489,8/77
1490,3/4
1491,5/213
1492,260/76
1493,1/43
1494,8/887
1495,80/597
1496,947/4
1497,460/8
1498,57/2
1499,557/69
1500,433/72
1501,487/6
1502,6/5
1503,7/3
1504,414/4
1505,2/74
1506,2/411
1507,8/2
1508,5/7
1509,212/27
1510,5/781
1511,6/639
1512,22/10
1513,681/415
1514,45/56
1515,3/563
1516,94/6
1517,753/3
1518,183/9
1519,46/772
1520,497/62
1521,8/92
1522,34/8
1523,6/201
1524,817/720
1525,8/500
1526,66/595
1527,54/2
1528,60/93
1529,5/5
1530,50/6
1531,9/3
1532,22/8
1533,4/89
1534,30/3
1535,7/2
1536,166/9
1537,2/64
1538,289/6
1539,801/2
1540,86/974
1541,4/501
1542,726/176
1543,67/375
1544,57/662
1545,974/10
1546,242/85
1547,73/405
1548,77/2
1549,704/2
1550,258/521
1551,32/19
1552,6/797
1553,2/83
1554,6/3
1555,2/632
1556,54/618
1557,278/8
1558,112/14
1559,27/84
1560,546/38
1561,368/4
1562,2/11
1563,45/609
1564,4/426
1565,5/2
1566,79/719
1567,87/28
1568,6/624
1569,8/3
1570,52/2
1571,3/43
1572,2/1
1573,95/861
1574,128/940
1575,501/503
1576,72/915
1577,5/428
1578,24/5
1579,6/25
1580,7/6
1581,322/18
1582,23/640
1583,627/66
1584,848/8
1585,81/78
1586,262/94
1587,35/935
1588,253/54
1589,184/22
1590,947/487
1591,40/4
1592,594/67
1593,257/25
1594,360/2
1595,272/2
1596,856/860
1597,2/14
1598,95/40
1599,473/2
1600,1/7
1601,6/589
1602,652/41
1603,3/34
1604,7/9
1605,246/37
1606,83/395
1607,951/473
1608,65/8
1609,7/551
1610,73/17
1611,62/10
1612,5/9
1613,31/16
1614,4/36
1615,5/4
1616,9/75
1617,25/9
1618,17/179
1619,29/669
1620,466/1
1621,8/1
1622,545/899
1623,968/523
1624,913/87
1625,7/728
1626,8/307
1627,256/2
1628,330/1
1629,829/81
1630,1/3
1631,27/1
1632,223/66
1633,490/6
1634,853/33
1635,7/895
1636,9/388
1637,2/26
1638,1/650
1639,387/491
1640,9/4
1641,1/365
1642,138/17
1643,50/1
1644,98/835
1645,303/71
1646,7/5
1647,3/27
1648,11/369
1649,915/3
1650,526/60
1651,25/4
1652,295/34
1653,366/52
1654,60/40
1655,920/3
1656,4/7
1657,168/581
1658,52/650
1659,789/528
1660,2/896
1661,7/39
1662,223/481
1663,9/569
1664,502/605
1665,289/12
1666,458/661
1667,263/94
1668,372/64
1669,585/27
1670,951/4
1671,199/61
1672,995/78
1673,85/5
1674,11/25
1675,113/46
1676,67/58
1677,698/1
1678,6/35
1679,39/751
1680,89/976
1681,1/182
1682,354/35
1683,74/294
1684,119/8
1685,1/714
1686,261/639
1687,20/8
1688,61/46
1689,36/13
1690,992/40
1691,727/321
1692,35/4
1693,4/4
1694,26/8
1695,618/1
1696,7/72
1697,741/451
1698,715/7
1699,5/39
1700,498/730
1701,890/4
1702,48/3
1703,635/309
1704,388/508
1705,92/791
1706,669/993
1707,3/87
1708,698/49
1709,69/2
1710,254/5
1711,8/5
1712,402/9
1713,998/48
1714,108/71
1715,22/7
1716,86/12
1717,11/38
1718,7/761
1719,586/297
1720,871/8
1721,50/89
1722,1/77
1723,2/46
1724,9/6
1725,27/29
1726,76/8
1727,543/1
1728,3/47
1729,817/89
1730,62/199
1731,84/4
1732,1/627
1733,865/2
1734,3/7
1735,1/63
1736,442/253
1737,13/736
1738,1/7
1739,5/869
1740,61/841
1741,7/1
1742,9/9
1743,712/220
1744,8/711
1745,290/8
1746,6/850
1747,915/57
1748,3/472
1749,395/83
1750,593/731
1751,76/707
1752,76/78
1753,8/9
1754,44/712
1755,670/97
1756,5/14
1757,3/11
1758,4/19
1759,2/43
1760,182/556
1761,51/31
1762,85/49
1763,584/3
1764,4/875
1765,4/1
1766,228/4
1767,39/84
1768,676/509
1769,72/150
1770,9/90
1771,20/7
1772,9/354
1773,64/570
1774,848/52
1775,928/5
1776,989/8
1777,216/53
1778,492/60
1779,947/26
1780,884/663
1781,248/39
1782,4/204
1783,78/78
1784,786/10
1785,9/766
1786,17/3
1787,954/939
1788,832/9
1789,779/2
1790,9/451
1791,2/18
1792,89/4
1793,6/835
1794,2/4
1795,8/6
1796,465/69
1797,872/23
1798,8/61
1799,20/3
1800,345/11
1801,8/2
1802,9/690
1803,86/733
1804,79/2
1805,26/93
1806,165/264
1807,28/53
1808,38/2
1809,3/5
1810,9/18
1811,93/33
1812,7/54
1813,1/6
1814,91/18
1815,2/64
1816,85/8
1817,4/983
1818,817/3
1819,37/572
1820,637/685
1821,183/7
1822,33/38
1823,84/769
1824,71/554
1825,78/245
1826,10/42
1827,587/4
1828,72/681
1829,81/62
1830,1/866
1831,499/10
1832,234/11
1833,815/3
1834,955/477
1835,7/4
1836,48/40
1837,936/102
1838,127/959
1839,77/891
1840,72/107
1841,579/988
1842,94/7
1843,974/78
1844,4/20
1845,9/664
1846,96/6
1847,23/50
1848,7/42
1849,7/15
1850,2/3
1851,8/25
1852,730/5
1853,9/797
1854,292/66
1855,5/7
1856,79/6
1857,222/20
1858,48/704
1859,162/6
1860,59/8
1861,6/341
1862,36/812
1863,356/300
1864,4/2
1865,69/4
1866,34/21
1867,979/355
1868,63/3
1869,153/7
1870,5/11
1871,7/62
1872,617/192
1873,9/273
1874,7/776
1875,986/9
1876,5/3
1877,1/905
1878,5/72
1879,71/61
1880,404/2
1881,205/461
1882,1/27
1883,1/852
1884,632/40
1885,492/4
1886,9/74
1887,215/488
1888,189/7
1889,55/56
1890,7/676
1891,7/91
1892,4/61
1893,66/36
1894,46/307
1895,51/4
1896,835/115
1897,5/220
1898,9/44
1899,1/138
1900,6/87
1901,99/616
1902,613/3
1903,2/681
1904,7/20
1905,51/1
1906,665/551
1907,7/50
1908,545/17
1909,31/6
1910,553/70
1911,83/81
1912,23/1
1913,89/65
1914,28/650
1915,564/16
1916,459/442
1917,880/8
1918,868/811
1919,771/7
1920,596/73
1921,2/5
1922,8/223
1923,831/84
1924,94/689
1925,5/347
1926,177/38
1927,232/427
1928,3/398
1929,647/5
1930,8/8
1931,818/933
1932,98/263
1933,939/38
1934,8/7
1935,623/3
1936,885/82
1937,3/32
1938,82/519
1939,589/8
1940,979/58
1941,68/5
1942,445/81
1943,6/393
1944,586/6
1945,9/9
1946,2/76
1947,5/577
1948,422/2
1949,531/463
1950,5/540
1951,3/2
1952,597/156
1953,979/58
1954,8/87
1955,1/3
1956,7/769
1957,37/58
1958,20/569
1959,39/973
1960,44/9
1961,381/60
1962,57/8
1963,882/51
1964,678/74
1965,40/3
1966,67/13
1967,871/33
1968,11/24
1969,655/41
1970,1/9
1971,7/429
1972,53/21
1973,442/88
1974,3/312
1975,4/789
1976,296/628
1977,88/772
1978,35/1
1979,967/5
1980,8/867
1981,70/22
1982,343/6
1983,11/76
1984,74/81
1985,695/5
1986,9/53
1987,632/235
1988,502/453
1989,3/766
1990,834/741
1991,7/23
1992,6/5
1993,1/640
1994,5/1
1995,6/106
1996,710/497
1997,717/95
1998,47/83
1999,14/3
2000,5/7
2001,9/4
2002,6/9
2003,3/978
2004,53/3
2005,78/8
2006,43/32
2007,3/702
2008,85/4
2009,22/8
2010,73/282
2011,9/86
2012,518/170
2013,26/35
2014,93/933
2015,975/6
2016,70/60
2017,280/309
2018,663/75
2019,345/147
2020,624/205
2021,73/8
2022,513/6
2023,99/86
2024,163/3
2025,7/888
2026,529/2
2027,9/2
2028,1/3
2029,41/7
2030,577/3
2031,34/3
2032,93/676
2033,89/1
2034,5/42
2035,6/536
2036,51/196
2037,783/4
2038,174/94
2039,859/1
2040,81/753
2041,981/7
2042,393/5
2043,7/883
2044,11/37
2045,394/957
2046,6/254
2047,9/4
2048,393/370
2049,46/503
2050,603/30
2051,28/720
2052,95/39
2053,788/478
2054,89/32
2055,3/20
2056,93/62
2057,35/6
2058,475/4
2059,80/85
2060,22/539
2061,2/5
2062,909/58
2063,19/75
2064,408/30
2065,134/430
2066,864/9
2067,1/4
2068,3/38
2069,9/13
2070,63/678
2071,734/5
2072,1/301
2073,5/514
2074,873/188
2075,77/10
2076,21/327
2077,726/85
2078,69/396
2079,51/6
2080,239/4
2081,21/9
2082,687/390
2083,32/2
2084,57/63
2085,854/2
2086,881/6
2087,807/745
2088,11/154
2089,90/752
2090,978/21
2091,27/73
2092,83/759
2093,2/484
2094,2/42
2095,4/48
2096,1/439
2097,9/704
2098,9/6
2099,1/160
2100,31/44
2101,8/47
2102,526/27
2103,8/394
2104,34/49
2105,24/1
2106,520/8
2107,7/2
2108,53/95
2109,96/58
2110,62/764
2111,808/4
2112,576/4
2113,956/652
2114,94/59
2115,2/2
2116,814/3
2117,37/456
2118,312/8
2119,882/93
2120,741/63
2121,33/365
2122,32/7
2123,238/10
2124,1/18
2125,53/442
2126,1/83
2127,86/100
2128,9/4
2129,3/33
2130,887/4
2131,79/6
2132,13/75
2133,5/57
2134,19/79
2135,555/750
2136,481/4
2137,869/85
2138,525/1
2139,116/218
2140,935/760
